Granularidade;UF;Cod_Identificacao;;
Acre;AC;12;;
Alagoas;AL;27;;
Amapa;AP;16;;
Amazonas;AM;13;;
Bahia;BA;29;;
Ceara;CE;23;;
Distrito Federal;DF;53;;
Espirito Santo;ES;32;;
Goias;GO;52;;
Maranhao;MA;21;;
Mato Grosso;MG;51;;
Mato Grosso do Sul;MS;50;;
Minas Gerais;MG;31;;
Para;PA;15;;
Paraiba;PB;25;;
Parana;PR;41;;
Pernambuco;PE;26;;
Piaui;PI;22;;
Rio de Janeiro;RJ;33;;
Rio Grande do Norte;RN;24;;
Rio Grande do Sul;RS;43;;
Rondonia;RO;11;;
Roraima;RR;14;;
Santa Catarina;SC;42;;
Sao Paulo;SP;35;;
Sergipe;SE;28;;
Tocantins;TO;17;;
Distrito Federal;DF;53;;