Granularidade;fx_idade;Populacao;;
Brasil;Total;190755799;;
Brasil;0 a 4 anos;13806733;;
Brasil;5 a 9 anos;14967767;;
Brasil;10 a 14 anos;17167135;;
Brasil;15 a 19 anos;16986788;;
Brasil;20 a 24 anos;17240864;;
Brasil;25 a 29 anos;17102917;;
Brasil;30 a 34 anos;15744616;;
Brasil;35 a 39 anos;13888191;;
Brasil;40 a 44 anos;13008496;;
Brasil;45 a 49 anos;11834647;;
Brasil;50 a 54 anos;10134322;;
Brasil;55 a 59 anos;8284433;;
Brasil;60 a 64 anos;6503287;;
Brasil;65 a 69 anos;4852789;;
Brasil;70 a 74 anos;3744738;;
Brasil;75 a 79 anos;2570686;;
Brasil;80 a 84 anos;1661523;;
Brasil;85 a 89 anos;816803;;
Brasil;90 a 94 anos;319959;;
Brasil;95 a 99 anos;96430;;
Brasil;100 anos ou mais;22676;;
Rondonia;Total;1562409;;
Rondonia;0 a 4 anos;128009;;
Rondonia;5 a 9 anos;139443;;
Rondonia;10 a 14 anos;156276;;
Rondonia;15 a 19 anos;155795;;
Rondonia;20 a 24 anos;151011;;
Rondonia;25 a 29 anos;146385;;
Rondonia;30 a 34 anos;132965;;
Rondonia;35 a 39 anos;116746;;
Rondonia;40 a 44 anos;105372;;
Rondonia;45 a 49 anos;90788;;
Rondonia;50 a 54 anos;72474;;
Rondonia;55 a 59 anos;54381;;
Rondonia;60 a 64 anos;39160;;
Rondonia;65 a 69 anos;28336;;
Rondonia;70 a 74 anos;19954;;
Rondonia;75 a 79 anos;13112;;
Rondonia;80 a 84 anos;7250;;
Rondonia;85 a 89 anos;3426;;
Rondonia;90 a 94 anos;1066;;
Rondonia;95 a 99 anos;389;;
Rondonia;100 anos ou mais;70;;
Acre;Total;733559;;
Acre;0 a 4 anos;77492;;
Acre;5 a 9 anos;82158;;
Acre;10 a 14 anos;87707;;
Acre;15 a 19 anos;76983;;
Acre;20 a 24 anos;70335;;
Acre;25 a 29 anos;67418;;
Acre;30 a 34 anos;59105;;
Acre;35 a 39 anos;47777;;
Acre;40 a 44 anos;39928;;
Acre;45 a 49 anos;31481;;
Acre;50 a 54 anos;25960;;
Acre;55 a 59 anos;20416;;
Acre;60 a 64 anos;15073;;
Acre;65 a 69 anos;11768;;
Acre;70 a 74 anos;7979;;
Acre;75 a 79 anos;5546;;
Acre;80 a 84 anos;3475;;
Acre;85 a 89 anos;1683;;
Acre;90 a 94 anos;819;;
Acre;95 a 99 anos;339;;
Acre;100 anos ou mais;116;;
Amazonas;Total;3483985;;
Amazonas;0 a 4 anos;371367;;
Amazonas;5 a 9 anos;384282;;
Amazonas;10 a 14 anos;400697;;
Amazonas;15 a 19 anos;364761;;
Amazonas;20 a 24 anos;339440;;
Amazonas;25 a 29 anos;323526;;
Amazonas;30 a 34 anos;285747;;
Amazonas;35 a 39 anos;232755;;
Amazonas;40 a 44 anos;191784;;
Amazonas;45 a 49 anos;157397;;
Amazonas;50 a 54 anos;125412;;
Amazonas;55 a 59 anos;96644;;
Amazonas;60 a 64 anos;70564;;
Amazonas;65 a 69 anos;50566;;
Amazonas;70 a 74 anos;36443;;
Amazonas;75 a 79 anos;25092;;
Amazonas;80 a 84 anos;15169;;
Amazonas;85 a 89 anos;7086;;
Amazonas;90 a 94 anos;3550;;
Amazonas;95 a 99 anos;1440;;
Amazonas;100 anos ou mais;263;;
Roraima;Total;450479;;
Roraima;0 a 4 anos;47618;;
Roraima;5 a 9 anos;49182;;
Roraima;10 a 14 anos;52332;;
Roraima;15 a 19 anos;46961;;
Roraima;20 a 24 anos;43388;;
Roraima;25 a 29 anos;42908;;
Roraima;30 a 34 anos;37059;;
Roraima;35 a 39 anos;29652;;
Roraima;40 a 44 anos;25312;;
Roraima;45 a 49 anos;21430;;
Roraima;50 a 54 anos;16603;;
Roraima;55 a 59 anos;13250;;
Roraima;60 a 64 anos;8949;;
Roraima;65 a 69 anos;6137;;
Roraima;70 a 74 anos;4185;;
Roraima;75 a 79 anos;2501;;
Roraima;80 a 84 anos;1786;;
Roraima;85 a 89 anos;813;;
Roraima;90 a 94 anos;279;;
Roraima;95 a 99 anos;97;;
Roraima;100 anos ou mais;36;;
Para;Total;7581051;;
Para;0 a 4 anos;737416;;
Para;5 a 9 anos;781331;;
Para;10 a 14 anos;836356;;
Para;15 a 19 anos;787403;;
Para;20 a 24 anos;749055;;
Para;25 a 29 anos;707322;;
Para;30 a 34 anos;617208;;
Para;35 a 39 anos;514394;;
Para;40 a 44 anos;434850;;
Para;45 a 49 anos;353971;;
Para;50 a 54 anos;292970;;
Para;55 a 59 anos;234314;;
Para;60 a 64 anos;173573;;
Para;65 a 69 anos;135280;;
Para;70 a 74 anos;95322;;
Para;75 a 79 anos;62864;;
Para;80 a 84 anos;36567;;
Para;85 a 89 anos;18300;;
Para;90 a 94 anos;8441;;
Para;95 a 99 anos;3280;;
Para;100 anos ou mais;834;;
Amapa;Total;669526;;
Amapa;0 a 4 anos;70049;;
Amapa;5 a 9 anos;72502;;
Amapa;10 a 14 anos;79104;;
Amapa;15 a 19 anos;73244;;
Amapa;20 a 24 anos;68509;;
Amapa;25 a 29 anos;63763;;
Amapa;30 a 34 anos;55197;;
Amapa;35 a 39 anos;46687;;
Amapa;40 a 44 anos;37215;;
Amapa;45 a 49 anos;28922;;
Amapa;50 a 54 anos;22920;;
Amapa;55 a 59 anos;16681;;
Amapa;60 a 64 anos;11074;;
Amapa;65 a 69 anos;9000;;
Amapa;70 a 74 anos;5776;;
Amapa;75 a 79 anos;4263;;
Amapa;80 a 84 anos;2287;;
Amapa;85 a 89 anos;1131;;
Amapa;90 a 94 anos;586;;
Amapa;95 a 99 anos;367;;
Amapa;100 anos ou mais;250;;
Tocantins;Total;1383445;;
Tocantins;0 a 4 anos;122741;;
Tocantins;5 a 9 anos;130989;;
Tocantins;10 a 14 anos;144244;;
Tocantins;15 a 19 anos;139275;;
Tocantins;20 a 24 anos;131885;;
Tocantins;25 a 29 anos;125176;;
Tocantins;30 a 34 anos;114456;;
Tocantins;35 a 39 anos;95403;;
Tocantins;40 a 44 anos;84977;;
Tocantins;45 a 49 anos;71322;;
Tocantins;50 a 54 anos;58814;;
Tocantins;55 a 59 anos;46620;;
Tocantins;60 a 64 anos;36805;;
Tocantins;65 a 69 anos;28417;;
Tocantins;70 a 74 anos;21484;;
Tocantins;75 a 79 anos;14916;;
Tocantins;80 a 84 anos;8910;;
Tocantins;85 a 89 anos;4121;;
Tocantins;90 a 94 anos;2122;;
Tocantins;95 a 99 anos;562;;
Tocantins;100 anos ou mais;206;;
Maranhao;Total;6574789;;
Maranhao;0 a 4 anos;636527;;
Maranhao;5 a 9 anos;673526;;
Maranhao;10 a 14 anos;725332;;
Maranhao;15 a 19 anos;682351;;
Maranhao;20 a 24 anos;656128;;
Maranhao;25 a 29 anos;595037;;
Maranhao;30 a 34 anos;500438;;
Maranhao;35 a 39 anos;403404;;
Maranhao;40 a 44 anos;356029;;
Maranhao;45 a 49 anos;305310;;
Maranhao;50 a 54 anos;256317;;
Maranhao;55 a 59 anos;216732;;
Maranhao;60 a 64 anos;172594;;
Maranhao;65 a 69 anos;137075;;
Maranhao;70 a 74 anos;105958;;
Maranhao;75 a 79 anos;70978;;
Maranhao;80 a 84 anos;41961;;
Maranhao;85 a 89 anos;22615;;
Maranhao;90 a 94 anos;11866;;
Maranhao;95 a 99 anos;3499;;
Maranhao;100 anos ou mais;1110;;
Piaui;Total;3118360;;
Piaui;0 a 4 anos;248393;;
Piaui;5 a 9 anos;272014;;
Piaui;10 a 14 anos;309431;;
Piaui;15 a 19 anos;302008;;
Piaui;20 a 24 anos;301885;;
Piaui;25 a 29 anos;275597;;
Piaui;30 a 34 anos;246625;;
Piaui;35 a 39 anos;206491;;
Piaui;40 a 44 anos;189689;;
Piaui;45 a 49 anos;169474;;
Piaui;50 a 54 anos;143233;;
Piaui;55 a 59 anos;121748;;
Piaui;60 a 64 anos;99083;;
Piaui;65 a 69 anos;77476;;
Piaui;70 a 74 anos;62431;;
Piaui;75 a 79 anos;41486;;
Piaui;80 a 84 anos;28720;;
Piaui;85 a 89 anos;14828;;
Piaui;90 a 94 anos;5509;;
Piaui;95 a 99 anos;1749;;
Piaui;100 anos ou mais;492;;
Ceara;Total;8452381;;
Ceara;0 a 4 anos;644701;;
Ceara;5 a 9 anos;696378;;
Ceara;10 a 14 anos;847464;;
Ceara;15 a 19 anos;846653;;
Ceara;20 a 24 anos;822861;;
Ceara;25 a 29 anos;742972;;
Ceara;30 a 34 anos;658095;;
Ceara;35 a 39 anos;576260;;
Ceara;40 a 44 anos;541126;;
Ceara;45 a 49 anos;479191;;
Ceara;50 a 54 anos;373628;;
Ceara;55 a 59 anos;313838;;
Ceara;60 a 64 anos;266480;;
Ceara;65 a 69 anos;206325;;
Ceara;70 a 74 anos;170901;;
Ceara;75 a 79 anos;112831;;
Ceara;80 a 84 anos;81958;;
Ceara;85 a 89 anos;45990;;
Ceara;90 a 94 anos;17620;;
Ceara;95 a 99 anos;5799;;
Ceara;100 anos ou mais;1312;;
Rio Grande do Norte;Total;3168027;;
Rio Grande do Norte;0 a 4 anos;235836;;
Rio Grande do Norte;5 a 9 anos;255883;;
Rio Grande do Norte;10 a 14 anos;293629;;
Rio Grande do Norte;15 a 19 anos;297238;;
Rio Grande do Norte;20 a 24 anos;309465;;
Rio Grande do Norte;25 a 29 anos;288123;;
Rio Grande do Norte;30 a 34 anos;253153;;
Rio Grande do Norte;35 a 39 anos;223706;;
Rio Grande do Norte;40 a 44 anos;214981;;
Rio Grande do Norte;45 a 49 anos;191178;;
Rio Grande do Norte;50 a 54 anos;147029;;
Rio Grande do Norte;55 a 59 anos;114363;;
Rio Grande do Norte;60 a 64 anos;103428;;
Rio Grande do Norte;65 a 69 anos;76247;;
Rio Grande do Norte;70 a 74 anos;61863;;
Rio Grande do Norte;75 a 79 anos;39897;;
Rio Grande do Norte;80 a 84 anos;31947;;
Rio Grande do Norte;85 a 89 anos;19150;;
Rio Grande do Norte;90 a 94 anos;7651;;
Rio Grande do Norte;95 a 99 anos;2580;;
Rio Grande do Norte;100 anos ou mais;680;;
Paraiba;Total;3766528;;
Paraiba;0 a 4 anos;291144;;
Paraiba;5 a 9 anos;314152;;
Paraiba;10 a 14 anos;348584;;
Paraiba;15 a 19 anos;352858;;
Paraiba;20 a 24 anos;346131;;
Paraiba;25 a 29 anos;327346;;
Paraiba;30 a 34 anos;297548;;
Paraiba;35 a 39 anos;260648;;
Paraiba;40 a 44 anos;243874;;
Paraiba;45 a 49 anos;214391;;
Paraiba;50 a 54 anos;171256;;
Paraiba;55 a 59 anos;147494;;
Paraiba;60 a 64 anos;130083;;
Paraiba;65 a 69 anos;101058;;
Paraiba;70 a 74 anos;85782;;
Paraiba;75 a 79 anos;55279;;
Paraiba;80 a 84 anos;40403;;
Paraiba;85 a 89 anos;24112;;
Paraiba;90 a 94 anos;10068;;
Paraiba;95 a 99 anos;3575;;
Paraiba;100 anos ou mais;742;;
Pernambuco;Total;8796448;;
Pernambuco;0 a 4 anos;677855;;
Pernambuco;5 a 9 anos;744922;;
Pernambuco;10 a 14 anos;835099;;
Pernambuco;15 a 19 anos;813400;;
Pernambuco;20 a 24 anos;817550;;
Pernambuco;25 a 29 anos;780085;;
Pernambuco;30 a 34 anos;717516;;
Pernambuco;35 a 39 anos;634859;;
Pernambuco;40 a 44 anos;577266;;
Pernambuco;45 a 49 anos;502073;;
Pernambuco;50 a 54 anos;414826;;
Pernambuco;55 a 59 anos;344239;;
Pernambuco;60 a 64 anos;287667;;
Pernambuco;65 a 69 anos;220215;;
Pernambuco;70 a 74 anos;173714;;
Pernambuco;75 a 79 anos;111871;;
Pernambuco;80 a 84 anos;77759;;
Pernambuco;85 a 89 anos;41564;;
Pernambuco;90 a 94 anos;17030;;
Pernambuco;95 a 99 anos;5330;;
Pernambuco;100 anos ou mais;1609;;
Alagoas;Total;3120494;;
Alagoas;0 a 4 anos;272485;;
Alagoas;5 a 9 anos;300299;;
Alagoas;10 a 14 anos;337867;;
Alagoas;15 a 19 anos;312951;;
Alagoas;20 a 24 anos;289703;;
Alagoas;25 a 29 anos;272414;;
Alagoas;30 a 34 anos;246873;;
Alagoas;35 a 39 anos;211588;;
Alagoas;40 a 44 anos;193272;;
Alagoas;45 a 49 anos;161623;;
Alagoas;50 a 54 anos;133091;;
Alagoas;55 a 59 anos;112158;;
Alagoas;60 a 64 anos;89182;;
Alagoas;65 a 69 anos;67182;;
Alagoas;70 a 74 anos;47958;;
Alagoas;75 a 79 anos;33863;;
Alagoas;80 a 84 anos;20214;;
Alagoas;85 a 89 anos;10378;;
Alagoas;90 a 94 anos;5032;;
Alagoas;95 a 99 anos;1976;;
Alagoas;100 anos ou mais;384;;
Sergipe;Total;2068017;;
Sergipe;0 a 4 anos;168893;;
Sergipe;5 a 9 anos;179107;;
Sergipe;10 a 14 anos;208209;;
Sergipe;15 a 19 anos;202088;;
Sergipe;20 a 24 anos;200693;;
Sergipe;25 a 29 anos;189423;;
Sergipe;30 a 34 anos;170348;;
Sergipe;35 a 39 anos;148496;;
Sergipe;40 a 44 anos;135951;;
Sergipe;45 a 49 anos;114138;;
Sergipe;50 a 54 anos;91976;;
Sergipe;55 a 59 anos;72695;;
Sergipe;60 a 64 anos;59248;;
Sergipe;65 a 69 anos;43672;;
Sergipe;70 a 74 anos;32318;;
Sergipe;75 a 79 anos;22776;;
Sergipe;80 a 84 anos;15075;;
Sergipe;85 a 89 anos;7593;;
Sergipe;90 a 94 anos;3656;;
Sergipe;95 a 99 anos;1220;;
Sergipe;100 anos ou mais;442;;
Bahia;Total;14016906;;
Bahia;0 a 4 anos;1061640;;
Bahia;5 a 9 anos;1191157;;
Bahia;10 a 14 anos;1339561;;
Bahia;15 a 19 anos;1326320;;
Bahia;20 a 24 anos;1303709;;
Bahia;25 a 29 anos;1309201;;
Bahia;30 a 34 anos;1171294;;
Bahia;35 a 39 anos;982693;;
Bahia;40 a 44 anos;903617;;
Bahia;45 a 49 anos;780965;;
Bahia;50 a 54 anos;665249;;
Bahia;55 a 59 anos;531493;;
Bahia;60 a 64 anos;435701;;
Bahia;65 a 69 anos;341613;;
Bahia;70 a 74 anos;262379;;
Bahia;75 a 79 anos;179812;;
Bahia;80 a 84 anos;120977;;
Bahia;85 a 89 anos;64525;;
Bahia;90 a 94 anos;30641;;
Bahia;95 a 99 anos;11024;;
Bahia;100 anos ou mais;3335;;
Minas Gerais;Total;19597330;;
Minas Gerais;0 a 4 anos;1276720;;
Minas Gerais;5 a 9 anos;1429628;;
Minas Gerais;10 a 14 anos;1687608;;
Minas Gerais;15 a 19 anos;1719107;;
Minas Gerais;20 a 24 anos;1732897;;
Minas Gerais;25 a 29 anos;1704192;;
Minas Gerais;30 a 34 anos;1596656;;
Minas Gerais;35 a 39 anos;1416211;;
Minas Gerais;40 a 44 anos;1373469;;
Minas Gerais;45 a 49 anos;1294855;;
Minas Gerais;50 a 54 anos;1130101;;
Minas Gerais;55 a 59 anos;924801;;
Minas Gerais;60 a 64 anos;714794;;
Minas Gerais;65 a 69 anos;542923;;
Minas Gerais;70 a 74 anos;428126;;
Minas Gerais;75 a 79 anos;297289;;
Minas Gerais;80 a 84 anos;187753;;
Minas Gerais;85 a 89 anos;90781;;
Minas Gerais;90 a 94 anos;36346;;
Minas Gerais;95 a 99 anos;10511;;
Minas Gerais;100 anos ou mais;2560;;
Espirito Santo;Total;3514952;;
Espirito Santo;0 a 4 anos;244195;;
Espirito Santo;5 a 9 anos;264907;;
Espirito Santo;10 a 14 anos;302376;;
Espirito Santo;15 a 19 anos;301522;;
Espirito Santo;20 a 24 anos;323366;;
Espirito Santo;25 a 29 anos;322629;;
Espirito Santo;30 a 34 anos;299476;;
Espirito Santo;35 a 39 anos;258899;;
Espirito Santo;40 a 44 anos;245188;;
Espirito Santo;45 a 49 anos;227840;;
Espirito Santo;50 a 54 anos;198867;;
Espirito Santo;55 a 59 anos;160828;;
Espirito Santo;60 a 64 anos;114690;;
Espirito Santo;65 a 69 anos;84769;;
Espirito Santo;70 a 74 anos;66029;;
Espirito Santo;75 a 79 anos;46930;;
Espirito Santo;80 a 84 anos;30239;;
Espirito Santo;85 a 89 anos;14441;;
Espirito Santo;90 a 94 anos;5553;;
Espirito Santo;95 a 99 anos;1643;;
Espirito Santo;100 anos ou mais;566;;
Rio de Janeiro;Total;15989929;;
Rio de Janeiro;0 a 4 anos;989199;;
Rio de Janeiro;5 a 9 anos;1092557;;
Rio de Janeiro;10 a 14 anos;1305109;;
Rio de Janeiro;15 a 19 anos;1270457;;
Rio de Janeiro;20 a 24 anos;1302527;;
Rio de Janeiro;25 a 29 anos;1364282;;
Rio de Janeiro;30 a 34 anos;1322236;;
Rio de Janeiro;35 a 39 anos;1191193;;
Rio de Janeiro;40 a 44 anos;1142866;;
Rio de Janeiro;45 a 49 anos;1101879;;
Rio de Janeiro;50 a 54 anos;1003799;;
Rio de Janeiro;55 a 59 anos;824324;;
Rio de Janeiro;60 a 64 anos;652821;;
Rio de Janeiro;65 a 69 anos;477306;;
Rio de Janeiro;70 a 74 anos;380646;;
Rio de Janeiro;75 a 79 anos;269559;;
Rio de Janeiro;80 a 84 anos;176627;;
Rio de Janeiro;85 a 89 anos;82558;;
Rio de Janeiro;90 a 94 anos;30701;;
Rio de Janeiro;95 a 99 anos;7765;;
Rio de Janeiro;100 anos ou mais;1518;;
Sao Paulo;Total;41262199;;
Sao Paulo;0 a 4 anos;2678908;;
Sao Paulo;5 a 9 anos;2860037;;
Sao Paulo;10 a 14 anos;3325558;;
Sao Paulo;15 a 19 anos;3302557;;
Sao Paulo;20 a 24 anos;3637159;;
Sao Paulo;25 a 29 anos;3788849;;
Sao Paulo;30 a 34 anos;3555781;;
Sao Paulo;35 a 39 anos;3184511;;
Sao Paulo;40 a 44 anos;2979834;;
Sao Paulo;45 a 49 anos;2752395;;
Sao Paulo;50 a 54 anos;2430892;;
Sao Paulo;55 a 59 anos;1993895;;
Sao Paulo;60 a 64 anos;1537926;;
Sao Paulo;65 a 69 anos;1112184;;
Sao Paulo;70 a 74 anos;851862;;
Sao Paulo;75 a 79 anos;605103;;
Sao Paulo;80 a 84 anos;394205;;
Sao Paulo;85 a 89 anos;185505;;
Sao Paulo;90 a 94 anos;64344;;
Sao Paulo;95 a 99 anos;17951;;
Sao Paulo;100 anos ou mais;2742;;
Parana;Total;10444526;;
Parana;0 a 4 anos;713881;;
Parana;5 a 9 anos;768059;;
Parana;10 a 14 anos;909399;;
Parana;15 a 19 anos;928028;;
Parana;20 a 24 anos;900869;;
Parana;25 a 29 anos;880212;;
Parana;30 a 34 anos;836180;;
Parana;35 a 39 anos;787306;;
Parana;40 a 44 anos;766478;;
Parana;45 a 49 anos;700586;;
Parana;50 a 54 anos;595403;;
Parana;55 a 59 anos;485971;;
Parana;60 a 64 anos;381543;;
Parana;65 a 69 anos;286676;;
Parana;70 a 74 anos;215253;;
Parana;75 a 79 anos;144339;;
Parana;80 a 84 anos;87731;;
Parana;85 a 89 anos;38336;;
Parana;90 a 94 anos;13825;;
Parana;95 a 99 anos;3614;;
Parana;100 anos ou mais;836;;
Santa Catarina;Total;6248436;;
Santa Catarina;0 a 4 anos;406906;;
Santa Catarina;5 a 9 anos;436646;;
Santa Catarina;10 a 14 anos;519558;;
Santa Catarina;15 a 19 anos;545405;;
Santa Catarina;20 a 24 anos;565607;;
Santa Catarina;25 a 29 anos;566710;;
Santa Catarina;30 a 34 anos;511133;;
Santa Catarina;35 a 39 anos;470819;;
Santa Catarina;40 a 44 anos;464104;;
Santa Catarina;45 a 49 anos;441624;;
Santa Catarina;50 a 54 anos;365322;;
Santa Catarina;55 a 59 anos;298470;;
Santa Catarina;60 a 64 anos;223640;;
Santa Catarina;65 a 69 anos;157384;;
Santa Catarina;70 a 74 anos;115789;;
Santa Catarina;75 a 79 anos;78985;;
Santa Catarina;80 a 84 anos;47750;;
Santa Catarina;85 a 89 anos;22666;;
Santa Catarina;90 a 94 anos;7465;;
Santa Catarina;95 a 99 anos;1962;;
Santa Catarina;100 anos ou mais;493;;
Rio Grande do Sul;Total;10693929;;
Rio Grande do Sul;0 a 4 anos;642451;;
Rio Grande do Sul;5 a 9 anos;723782;;
Rio Grande do Sul;10 a 14 anos;861658;;
Rio Grande do Sul;15 a 19 anos;875601;;
Rio Grande do Sul;20 a 24 anos;871216;;
Rio Grande do Sul;25 a 29 anos;893522;;
Rio Grande do Sul;30 a 34 anos;807778;;
Rio Grande do Sul;35 a 39 anos;744800;;
Rio Grande do Sul;40 a 44 anos;760392;;
Rio Grande do Sul;45 a 49 anos;772881;;
Rio Grande do Sul;50 a 54 anos;694490;;
Rio Grande do Sul;55 a 59 anos;583878;;
Rio Grande do Sul;60 a 64 anos;463815;;
Rio Grande do Sul;65 a 69 anos;344815;;
Rio Grande do Sul;70 a 74 anos;263262;;
Rio Grande do Sul;75 a 79 anos;187623;;
Rio Grande do Sul;80 a 84 anos;119475;;
Rio Grande do Sul;85 a 89 anos;56580;;
Rio Grande do Sul;90 a 94 anos;20039;;
Rio Grande do Sul;95 a 99 anos;5017;;
Rio Grande do Sul;100 anos ou mais;854;;
Mato Grosso do Sul;Total;2449024;;
Mato Grosso do Sul;0 a 4 anos;191472;;
Mato Grosso do Sul;5 a 9 anos;197829;;
Mato Grosso do Sul;10 a 14 anos;222088;;
Mato Grosso do Sul;15 a 19 anos;225991;;
Mato Grosso do Sul;20 a 24 anos;219930;;
Mato Grosso do Sul;25 a 29 anos;217254;;
Mato Grosso do Sul;30 a 34 anos;200540;;
Mato Grosso do Sul;35 a 39 anos;181545;;
Mato Grosso do Sul;40 a 44 anos;168579;;
Mato Grosso do Sul;45 a 49 anos;154699;;
Mato Grosso do Sul;50 a 54 anos;126787;;
Mato Grosso do Sul;55 a 59 anos;102716;;
Mato Grosso do Sul;60 a 64 anos;76808;;
Mato Grosso do Sul;65 a 69 anos;58263;;
Mato Grosso do Sul;70 a 74 anos;44913;;
Mato Grosso do Sul;75 a 79 anos;28709;;
Mato Grosso do Sul;80 a 84 anos;17463;;
Mato Grosso do Sul;85 a 89 anos;8583;;
Mato Grosso do Sul;90 a 94 anos;3510;;
Mato Grosso do Sul;95 a 99 anos;1113;;
Mato Grosso do Sul;100 anos ou mais;232;;
Mato Grosso;Total;3035122;;
Mato Grosso;0 a 4 anos;243261;;
Mato Grosso;5 a 9 anos;254201;;
Mato Grosso;10 a 14 anos;281507;;
Mato Grosso;15 a 19 anos;284316;;
Mato Grosso;20 a 24 anos;285991;;
Mato Grosso;25 a 29 anos;284126;;
Mato Grosso;30 a 34 anos;265796;;
Mato Grosso;35 a 39 anos;235428;;
Mato Grosso;40 a 44 anos;213397;;
Mato Grosso;45 a 49 anos;184610;;
Mato Grosso;50 a 54 anos;149126;;
Mato Grosso;55 a 59 anos;112947;;
Mato Grosso;60 a 64 anos;82230;;
Mato Grosso;65 a 69 anos;61666;;
Mato Grosso;70 a 74 anos;43919;;
Mato Grosso;75 a 79 anos;26924;;
Mato Grosso;80 a 84 anos;15192;;
Mato Grosso;85 a 89 anos;6489;;
Mato Grosso;90 a 94 anos;2743;;
Mato Grosso;95 a 99 anos;945;;
Mato Grosso;100 anos ou mais;308;;
Goias;Total;6003788;;
Goias;0 a 4 anos;438403;;
Goias;5 a 9 anos;472711;;
Goias;10 a 14 anos;531291;;
Goias;15 a 19 anos;533337;;
Goias;20 a 24 anos;554033;;
Goias;25 a 29 anos;556809;;
Goias;30 a 34 anos;532980;;
Goias;35 a 39 anos;473572;;
Goias;40 a 44 anos;431102;;
Goias;45 a 49 anos;371950;;
Goias;50 a 54 anos;303313;;
Goias;55 a 59 anos;243835;;
Goias;60 a 64 anos;186471;;
Goias;65 a 69 anos;137717;;
Goias;70 a 74 anos;104012;;
Goias;75 a 79 anos;66492;;
Goias;80 a 84 anos;38377;;
Goias;85 a 89 anos;17601;;
Goias;90 a 94 anos;7073;;
Goias;95 a 99 anos;2153;;
Goias;100 anos ou mais;555;;
Distrito Federal;Total;2570160;;
Distrito Federal;0 a 4 anos;189171;;
Distrito Federal;5 a 9 anos;200087;;
Distrito Federal;10 a 14 anos;219091;;
Distrito Federal;15 a 19 anos;220178;;
Distrito Federal;20 a 24 anos;245521;;
Distrito Federal;25 a 29 anos;267638;;
Distrito Federal;30 a 34 anos;252432;;
Distrito Federal;35 a 39 anos;212348;;
Distrito Federal;40 a 44 anos;187844;;
Distrito Federal;45 a 49 anos;157673;;
Distrito Federal;50 a 54 anos;124462;;
Distrito Federal;55 a 59 anos;95703;;
Distrito Federal;60 a 64 anos;69884;;
Distrito Federal;65 a 69 anos;48720;;
Distrito Federal;70 a 74 anos;36479;;
Distrito Federal;75 a 79 anos;21644;;
Distrito Federal;80 a 84 anos;12252;;
Distrito Federal;85 a 89 anos;5946;;
Distrito Federal;90 a 94 anos;2425;;
Distrito Federal;95 a 99 anos;530;;
Distrito Federal;100 anos ou mais;132;;
